fid,ID,AREA,BLOCK,BG,TRACT,COUNTY,MSA,POPULATION,MALE,FEMALE,AGE_0_5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85,MEDIAN_AGE,AGE_18,MALE_18,FEMALE_18,AGE_21,AGE_62,AGE_65,MALE_65,FEMALE_65,F1_RACE,WHITE,BLACK,AMINDIAN,ASIAN,HAWAIIAN,OTHER_RACE,F2_RACES,AP_WHITE,AP_BLACK,AP_AMINDIA,AP_ASIAN,AP_HAWAIIA,AP_OTHER,AP_HISPANI,NOT_HISPAN,NH_WHITE,IN_HOUSEHO,GROUP_QUAR,GQ_INSTITU,GQ_NONINST,HOUSEHOLDS,HH_FAMILY,HH_NONFAMI,AVG_HHSIZE,AVG_FAMSIZ,HSNG_UNITS,HU_OCCUPIE,HU_VACANT,OCCHU_OWNE,OCCHU_RENT,OWNER_SIZE,RENTER_SIZ,DENSITY,BURGLARY,ASSAULT,THEFT,BURG_D,ASSALT_D,THEFT_D,lon,lat
"19",696063,0,"390610033001005","390610033001","39061003300","39061","1640",45,19,26,4,2,2,3,10,11,5,4,0,0,4,0,0,25.8,36,16,20,33,4,4,2,2,45,16,28,1,0,0,0,0,16,28,1,0,0,0,0,45,16,45,0,0,0,23,10,13,1.96,2.5,28,23,5,3,20,2,1.95,20253.2817,"1","0","1",1,0,1,-84.5046696670557,39.1312533334353
"20",696081,0,"390610033001002","390610033001","39061003300","39061","1640",58,33,25,1,1,1,6,22,12,7,5,0,0,3,0,0,24,54,31,23,43,3,3,2,1,58,25,33,0,0,0,0,0,25,33,0,0,0,0,0,58,25,58,0,0,0,18,3,15,3.22,3.67,21,18,3,4,14,5,2.71,26104.6528,"1","0","0",1,0,0,-84.5046163337224,39.1319666667685
"21",696098,0,"390610032002018","390610032002","39061003200","39061","1640",12,5,7,0,0,4,2,0,0,1,3,0,0,0,2,0,28.5,6,2,4,6,2,2,1,1,12,0,12,0,0,0,0,0,0,12,0,0,0,0,0,12,0,12,0,0,0,4,4,0,3,2.75,6,4,2,2,2,3,3,5400.9967,"0","0","0",0,0,0,-84.5054163337223,39.1327666667685
"22",696116,0.01,"390610022004001","390610022004","39061002200","39061","1640",124,80,44,3,4,3,12,33,27,18,14,2,2,3,0,3,26.3,112,77,35,96,6,6,4,2,120,54,61,0,3,0,2,4,57,63,0,4,0,4,3,121,53,124,0,0,0,89,13,76,1.39,3,105,89,16,9,80,2,1.33,16616.8953,"1","2","6",1,1,1,-84.5040195107072,39.1256994527159
"23",696133,0,"390610022004000","390610022004","39061002200","39061","1640",53,23,30,0,2,7,5,0,1,15,6,1,3,6,7,0,40.5,40,17,23,39,16,13,5,8,52,0,52,0,0,0,0,1,1,53,0,0,0,0,0,53,0,53,0,0,0,26,13,13,2.04,2.77,39,26,13,8,18,2.88,1.67,10841.8176,"0","0","0",0,0,0,-84.502973303757,39.1256206039259
"24",696151,0.01,"390610033001013","390610033001","39061003300","39061","1640",225,107,118,2,3,2,9,46,53,36,34,7,5,15,13,0,34.2,216,104,112,198,31,28,14,14,218,82,124,1,11,0,0,7,88,126,6,11,0,2,2,223,81,225,0,0,0,178,20,158,1.26,2.2,193,178,15,0,178,0,1.26,43709.5862,"2","7","15",1,1,1,-84.5025447986662,39.1268369790119
"25",696169,0,"390610022001000","390610022001","39061002200","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.5021874452263,39.1256081456592
"26",687545,0.01,"390610069003002","390610069003","39061006900","39061","1640",56,28,28,1,2,2,5,3,5,15,4,3,3,6,5,2,43.3,47,21,26,45,15,13,6,7,56,3,53,0,0,0,0,0,3,53,0,0,0,0,0,56,3,56,0,0,0,29,11,18,1.93,2.91,31,29,2,13,16,1.77,2.06,9139.2801,"0","1","0",0,1,0,-84.5126436976353,39.1454301918596
"27",687585,0.12,"390610069003000","390610069003","39061006900","39061","1640",222,100,122,9,21,22,21,12,28,28,27,11,11,18,13,1,34,152,61,91,148,35,32,7,25,222,14,207,0,0,0,1,0,14,207,0,0,0,1,1,221,14,222,0,0,0,85,52,33,2.61,3.38,109,85,24,43,42,2.35,2.88,1820.1248,"3","4","8",1,1,1,-84.5088682518738,39.1453745265698
"28",687621,0.01,"390610069003001","390610069003","39061006900","39061","1640",99,43,56,4,11,11,15,6,4,14,15,4,4,6,4,1,31.8,64,25,39,55,15,11,1,10,99,3,94,1,0,0,1,0,3,94,1,0,0,1,0,99,3,99,0,0,0,36,22,14,2.75,3.55,41,36,5,26,10,3.04,2,13605.8656,"0","0","0",0,0,0,-84.5123559322492,39.146686770217
"29",687678,0.01,"390610069004001","390610069004","39061006900","39061","1640",72,32,40,6,10,6,9,4,10,6,7,5,2,6,1,0,25.5,45,20,25,40,8,7,2,5,72,1,70,0,0,1,0,0,1,70,0,0,1,0,0,72,1,72,0,0,0,23,16,7,3.13,3.88,26,23,3,10,13,1.9,4.08,7451.3647,"1","2","0",1,1,0,-84.5099396757021,39.150017534511
"30",677316,0.1,"390610029003000","390610029003","39061002900","39061","1640",688,404,284,15,14,14,61,272,128,59,58,12,11,23,14,7,24.1,624,374,250,520,52,44,16,28,666,572,69,0,23,0,2,22,590,87,6,25,0,5,4,684,570,569,119,0,119,323,73,250,1.76,2.74,358,323,35,74,249,1.93,1.71,7170.8735,"10","5","15",1,1,1,-84.5254695717278,39.1317726808644
"31",673099,0,"390610021001025","390610021001","39061002100","39061","1640",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,3,1,2,0,1,0,1,750.053,"0","0","1",0,0,1,-84.4909318900035,39.1244433327685
"32",673118,0.01,"390610019001005","390610019001","39061001900","39061","1640",130,67,63,4,7,9,7,7,36,23,9,5,5,5,9,4,34,105,57,48,101,20,18,5,13,128,60,67,0,1,0,0,2,62,67,1,1,0,1,0,130,60,130,0,0,0,70,25,45,1.86,2.96,84,70,14,16,54,1.88,1.85,11143.0829,"3","0","1",1,0,1,-84.4890443771748,39.1209376702141
"33",673138,0.01,"390610019001001","390610019001","39061001900","39061","1640",68,37,31,1,1,3,0,2,6,15,20,1,6,8,2,3,48,63,37,26,63,19,13,8,5,67,5,61,1,0,0,0,1,5,61,2,1,0,0,0,68,5,68,0,0,0,51,12,39,1.33,2.42,58,51,7,5,46,2.8,1.17,6453.8469,"0","1","2",0,1,1,-84.4900787376976,39.1240174686575
"34",673157,0.02,"390610019001002","390610019001","39061001900","39061","1640",192,102,90,8,5,13,0,13,39,39,37,10,11,11,6,0,39.8,166,88,78,162,24,17,5,12,182,55,122,0,3,1,1,10,57,124,0,4,9,8,1,191,55,186,6,0,6,122,23,99,1.52,3,131,122,9,23,99,2.04,1.4,11986.7841,"4","7","4",1,1,1,-84.4887168392449,39.123300608972
"35",673193,0,"390610019001008","390610019001","39061001900","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4876535754598,39.118889449891
"36",673212,0.01,"390610020002006","390610020002","39061002000","39061","1640",230,111,119,6,2,2,7,35,72,29,21,9,8,9,15,15,31.8,217,106,111,208,43,39,15,24,225,160,59,2,2,0,2,5,163,64,4,2,0,3,7,223,160,192,38,38,0,130,29,101,1.48,2.38,140,130,10,32,98,1.84,1.36,18000.3183,"3","1","0",1,1,0,-84.4873957537642,39.1205529445672
"37",673231,0.01,"390610020002007","390610020002","39061002000","39061","1640",220,102,118,0,1,0,0,6,15,15,37,15,13,46,58,14,68.3,219,101,118,218,125,118,50,68,220,197,18,0,5,0,0,0,197,18,0,5,0,0,0,220,197,220,0,0,0,173,38,135,1.27,2,188,173,15,24,149,1.46,1.24,23114.5895,"0","0","1",0,0,1,-84.485721665226,39.1193339233576
"38",673252,0.01,"390610020002005","390610020002","39061002000","39061","1640",108,56,52,4,2,2,3,16,43,13,10,3,5,6,1,0,30,99,52,47,93,9,7,5,2,104,66,35,1,2,0,0,4,68,37,3,2,0,2,1,107,66,108,0,0,0,72,16,56,1.5,2.5,86,72,14,5,67,3.2,1.37,10681.4877,"0","0","2",0,0,1,-84.4859712657654,39.1208235496229
"39",673272,0.02,"390610020002002","390610020002","39061002000","39061","1640",150,82,68,7,3,1,6,13,45,28,16,8,5,8,6,4,35,138,75,63,130,20,18,6,12,142,78,58,4,0,0,2,8,84,65,5,1,1,2,4,146,78,120,30,0,30,79,12,67,1.52,2.42,85,79,6,13,66,1.85,1.45,8645.0376,"4","1","6",1,1,1,-84.4871715700028,39.1230216798818
"40",673292,0.01,"390610020002001","390610020002","39061002000","39061","1640",72,41,31,2,7,2,2,6,12,17,8,5,3,6,1,1,41.3,60,36,24,56,10,8,5,3,72,15,49,2,6,0,0,0,15,49,2,6,0,0,0,72,15,72,0,0,0,46,11,35,1.57,2.64,59,46,13,6,40,2.33,1.45,11237.8312,"1","1","3",1,1,1,-84.4869530195201,39.1249101945254
"41",673311,0,"390610020002004","390610020002","39061002000","39061","1640",14,8,6,0,0,1,0,3,7,2,1,0,0,0,0,0,29.5,13,7,6,13,0,0,0,0,14,11,3,0,0,0,0,0,11,3,0,0,0,0,0,14,11,14,0,0,0,9,2,7,1.56,2,10,9,1,1,8,1,1.63,5361.8973,"0","0","0",0,0,0,-84.4853801147783,39.1217808044147
"42",673328,0.01,"390610020002003","390610020002","39061002000","39061","1640",139,64,75,5,3,2,4,14,47,22,22,6,1,7,6,0,32.6,126,59,67,124,14,13,4,9,131,105,24,1,1,0,0,8,111,30,6,1,0,3,1,138,105,139,0,0,0,89,19,70,1.56,2.58,96,89,7,0,89,0,1.56,15769.7309,"0","0","3",0,0,1,-84.4857469247495,39.1232420685601
"43",673347,0,"390610020002000","390610020002","39061002000","39061","1640",84,33,51,6,2,9,3,6,27,16,6,3,5,1,0,0,31.7,65,21,44,63,3,1,1,0,83,31,52,0,0,0,0,1,32,53,0,0,0,0,0,84,31,65,19,19,0,36,11,25,1.81,3.18,64,36,28,10,26,1.4,1.96,21499.33,"0","0","2",0,0,1,-84.4855692247413,39.1248021800118
"44",673364,0.01,"390610020001004","390610020001","39061002000","39061","1640",5,4,1,0,0,0,1,0,0,1,1,0,0,1,0,1,47.5,4,3,1,4,2,2,1,1,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,5,0,0,0,2,1,1,2.5,4,2,2,0,0,2,0,2.5,771.4783,"0","0","1",0,0,1,-84.4848591962515,39.1237314171827
"45",673383,0,"390610020001002","390610020001","39061002000","39061","1640",11,3,8,0,0,0,0,1,4,0,0,3,1,1,1,0,58.3,11,3,8,11,2,2,1,1,11,8,3,0,0,0,0,0,8,3,0,0,0,0,0,11,8,11,0,0,0,8,2,6,1.38,2,9,8,1,3,5,1.67,1.2,6187.701,"0","0","1",0,0,1,-84.4831346666841,39.1218058346464
"46",673399,0.01,"390610020001001","390610020001","39061002000","39061","1640",54,21,33,0,2,2,4,8,15,9,3,1,0,2,3,5,28.7,47,21,26,46,10,10,4,6,54,36,14,0,4,0,0,0,36,14,0,4,0,0,0,54,36,45,9,0,9,28,11,17,1.61,2.45,30,28,2,10,18,2,1.39,6509.2387,"0","0","0",0,0,0,-84.4830263360247,39.1228766648619
"47",673417,0.01,"390610020001003","390610020001","39061002000","39061","1640",77,47,30,1,0,0,7,9,31,12,10,1,2,4,0,0,30.4,75,47,28,67,5,4,4,0,75,54,20,0,1,0,0,2,56,20,0,1,0,2,1,76,54,77,0,0,0,61,8,53,1.26,2.13,72,61,11,2,59,2,1.24,6234.2304,"0","0","1",0,0,1,-84.4840503530847,39.1236360023704
"48",673436,0.01,"390610020001005","390610020001","39061002000","39061","1640",26,11,15,0,1,2,1,4,6,5,4,0,0,3,0,0,32,23,9,14,21,3,3,3,0,26,18,8,0,0,0,0,0,18,8,0,0,0,0,1,25,17,26,0,0,0,15,2,13,1.73,3,15,15,0,5,10,2,1.6,4117.5953,"0","0","0",0,0,0,-84.4827150441625,39.1244300872928
"49",673454,0.1,"390610020001000","390610020001","39061002000","39061","1640",408,182,226,10,5,7,10,31,110,53,59,30,18,52,21,2,41.7,378,169,209,369,86,75,25,50,400,310,73,0,12,0,5,8,316,81,0,12,0,7,9,399,304,374,34,0,34,238,83,155,1.57,2.25,282,238,44,90,148,1.76,1.46,4075.5769,"0","1","6",0,1,1,-84.4818416779081,39.1210102586626
"50",673484,0.01,"390610020001006","390610020001","39061002000","39061","1640",38,10,28,0,0,1,0,0,5,6,4,2,0,6,6,8,68.5,37,9,28,37,20,20,3,17,38,32,6,0,0,0,0,0,32,6,0,0,0,0,0,38,32,22,16,0,16,14,4,10,1.57,2.25,15,14,1,0,14,0,1.57,3315.2547,"0","0","3",0,0,1,-84.4809470392681,39.1242182680555
"51",709180,0.01,"390610037001004","390610037001","39061003700","39061","1640",173,92,81,13,17,14,9,9,19,36,18,10,1,18,4,5,36.9,123,63,60,118,28,27,15,12,167,11,154,0,0,0,2,6,14,160,1,0,0,5,6,167,11,173,0,0,0,91,31,60,1.9,3.42,96,91,5,6,85,3.33,1.8,19383.9789,"0","0","2",0,0,1,-84.4833952859178,39.1276454756576
"52",709200,0,"390610037001005","390610037001","39061003700","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4839096686644,39.1282266672475
"53",709217,0,"390610037003011","390610037003","39061003700","39061","1640",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,51.5,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,3,1,2,1,0,1,0,377.6733,"0","0","0",0,0,0,-84.483753490016,39.1289572023568
"54",709235,0,"390610037003010","390610037003","39061003700","39061","1640",2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,83,2,1,1,2,2,2,1,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,1,1,0,2,2,1,1,0,1,0,2,0,1125.1529,"0","0","0",0,0,0,-84.482998556373,39.1290377776378
"55",709254,0.01,"390610037001009","390610037001","39061003700","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","2",0,0,1,-84.4804008884034,39.1259732631386
"56",709272,0.02,"390610037001008","390610037001","39061003700","39061","1640",191,103,88,11,16,16,8,14,28,35,30,5,4,14,5,5,36.1,143,83,60,137,25,24,8,16,189,33,155,0,0,0,1,2,35,155,2,0,0,1,0,191,33,153,38,38,0,65,32,33,2.35,3.59,83,65,18,26,39,2.85,2.03,12457.7064,"1","0","3",1,0,1,-84.480705673103,39.1273278884957
"57",709292,0,"390610037003007","390610037003","39061003700","39061","1640",27,17,10,2,3,0,0,1,6,1,3,7,2,1,1,0,48.5,22,14,8,22,2,2,1,1,27,2,25,0,0,0,0,0,2,25,0,0,0,0,0,27,2,27,0,0,0,15,4,11,1.8,3.25,17,15,2,6,9,2,1.67,5951.8877,"0","0","2",0,0,1,-84.4834927966369,39.1300024480027
"58",709311,0.01,"390610037003001","390610037003","39061003700","39061","1640",48,24,24,7,2,9,6,5,7,5,2,2,1,2,0,0,19.5,25,13,12,23,3,2,1,1,48,1,47,0,0,0,0,0,1,47,0,0,0,0,0,48,1,48,0,0,0,19,11,8,2.53,3.36,22,19,3,1,18,1,2.61,8862.921,"0","3","1",0,1,1,-84.4831278355219,39.131038417908
"59",709334,0,"390610037003009","390610037003","39061003700","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4823005767452,39.129132727657
"60",709351,0,"390610037003000","390610037003","39061003700","39061","1640",58,24,34,3,5,9,10,2,5,7,8,3,1,4,0,1,24,33,14,19,31,6,5,3,2,58,0,58,0,0,0,0,0,0,58,0,0,0,0,0,58,0,58,0,0,0,22,14,8,2.64,3.21,31,22,9,6,16,2.83,2.56,12239.7822,"2","0","1",1,0,1,-84.4824371980234,39.131513790663
"61",709372,0.01,"390610037003008","390610037003","39061003700","39061","1640",81,36,45,7,7,7,5,5,10,14,9,7,2,5,1,2,34.8,58,26,32,54,10,8,5,3,81,0,81,0,0,0,0,0,0,81,0,0,0,0,0,81,0,81,0,0,0,43,14,29,1.88,3.36,48,43,5,4,39,1.5,1.92,7861.5423,"0","3","0",0,1,0,-84.4818712792556,39.1298956817344
"62",709393,0.02,"390610037001001","390610037001","39061003700","39061","1640",88,47,41,4,0,4,6,7,11,23,14,7,5,6,1,0,42,76,38,38,72,10,7,2,5,88,8,80,0,0,0,0,0,8,80,0,0,0,0,0,88,8,88,0,0,0,56,17,39,1.57,2.59,59,56,3,12,44,1.75,1.52,5072.4868,"1","1","1",1,1,1,-84.4803218333396,39.1308626633952
"63",709415,0.01,"390610042002007","390610042002","39061004200","39061","1640",169,60,109,31,16,7,11,20,42,16,13,5,3,3,1,1,24.9,109,35,74,99,6,5,1,4,168,54,112,1,1,0,0,1,54,113,2,1,0,0,7,162,48,169,0,0,0,78,43,35,2.17,2.95,83,78,5,8,70,2.75,2.1,14062.7526,"0","1","4",0,1,1,-84.4787351443439,39.1252435140629
"64",709435,0,"390610042002006","390610042002","39061004200","39061","1640",47,16,31,0,1,0,2,4,19,12,6,0,0,1,0,2,32.8,45,16,29,43,3,3,1,2,47,24,23,0,0,0,0,0,24,23,0,0,0,0,0,47,24,47,0,0,0,35,5,30,1.34,2.8,38,35,3,6,29,2,1.21,10532.1683,"0","0","1",0,0,1,-84.4782435541748,39.126402878284
"65",709452,0.02,"390610037001003","390610037001","39061003700","39061","1640",243,162,81,15,11,9,8,20,43,63,32,14,6,15,6,1,38.3,203,141,62,198,25,22,10,12,238,48,190,0,0,0,0,5,50,193,4,0,0,1,1,242,47,194,49,0,49,76,35,41,2.55,2.97,98,76,22,27,49,2.48,2.59,10515.7405,"3","0","7",1,0,1,-84.479974448631,39.1283517946586
"66",709472,0.01,"390610042002005","390610042002","39061004200","39061","1640",111,54,57,5,3,3,3,14,31,24,17,5,3,1,2,0,33.3,98,51,47,97,3,3,1,2,109,74,35,0,0,0,0,2,75,36,2,0,0,0,1,110,73,111,0,0,0,58,27,31,1.91,2.59,69,58,11,22,36,2.41,1.61,11483.761,"2","1","1",1,1,1,-84.477077995894,39.1255861750883
"67",709492,0.01,"390610042001006","390610042001","39061004200","39061","1640",205,99,106,18,26,19,26,11,27,33,20,8,4,8,4,1,25.8,121,48,73,115,15,13,5,8,201,14,185,1,1,0,0,4,18,188,5,1,0,0,0,205,14,205,0,0,0,83,44,39,2.47,3.57,97,83,14,19,64,2.89,2.34,24439.8373,"0","0","0",0,0,0,-84.4771853865763,39.1274193087484
