fid,primaryindex,TOP2,TOP3,TOP4,NXTOP2,NXTOP3,NXTOP4,N2XTOP2,N2XTOP3,N2XTOP4,LONGITUDE,LATITUDE,OBS,YIELD,N,N2,TOPO,BV,BV2,NXBV,BVXT2,BVXT3,BVXT4,BV2XT2,BV2XT3,BV2XT4,SAT,SAT2,NXSAT,SATXT2,SATXT3,SATXT4,SAT2XT2,SAT2XT3,SAT2XT4
"13","13","0","0","1","0","0","132","0","0","17292",-63.84801343,-33.05128018,"13",72.09,131.5,17292.25,"4",173.07,29953.2249,22758.705,0,0,173.07,0,0,29953.225,2.13,4.54,280.09,0,0,2.13,0,0,4.54
"14","14","0","0","1","0","0","132","0","0","17292",-63.84794257,-33.05129228,"14",67.5,131.5,17292.25,"4",174.57,30474.6849,22955.955,0,0,174.57,0,0,30474.685,2.13,4.54,280.09,0,0,2.13,0,0,4.54
"15","15","0","0","1","0","0","132","0","0","17292",-63.84787172,-33.05130438,"15",62.67,131.5,17292.25,"4",175.42,30772.1764,23067.73,0,0,175.42,0,0,30772.176,2.13,4.54,280.09,0,0,2.13,0,0,4.54
"16","16","0","0","1","0","0","132","0","0","17292",-63.84780087,-33.05131648,"16",64.23,131.5,17292.25,"4",172.54,29770.0516,22689.01,0,0,172.54,0,0,29770.052,2.11,4.45,277.46,0,0,2.11,0,0,4.45
"17","17","0","0","1","0","0","132","0","0","17292",-63.84773002,-33.05132857,"17",65.7,131.5,17292.25,"4",178.93,32015.9449,23529.295,0,0,178.93,0,0,32015.945,2.1,4.41,276.15,0,0,2.1,0,0,4.41
"18","18","0","0","1","0","0","132","0","0","17292",-63.84765917,-33.05134067,"18",65.71,131.5,17292.25,"4",172.15,29635.6225,22637.725,0,0,172.15,0,0,29635.623,2.1,4.41,276.15,0,0,2.1,0,0,4.41
"19","19","0","0","1","0","0","132","0","0","17292",-63.84758831,-33.05135277,"19",59.33,131.5,17292.25,"4",171.66,29467.1556,22573.29,0,0,171.66,0,0,29467.156,2.1,4.41,276.15,0,0,2.1,0,0,4.41
"20","20","0","0","1","0","0","132","0","0","17292",-63.84751746,-33.05136487,"20",57.51,131.5,17292.25,"4",171.85,29532.4225,22598.275,0,0,171.85,0,0,29532.423,2.1,4.41,276.15,0,0,2.1,0,0,4.41
"21","21","0","0","1","0","0","132","0","0","17292",-63.84744661,-33.05137697,"21",58.85,131.5,17292.25,"4",171.6,29446.56,22565.4,0,0,171.6,0,0,29446.56,2.08,4.33,273.52,0,0,2.08,0,0,4.33
"22","22","0","0","1","0","0","132","0","0","17292",-63.84737576,-33.05138907,"22",55.3,131.5,17292.25,"4",172.76,29846.0176,22717.94,0,0,172.76,0,0,29846.018,2.08,4.33,273.52,0,0,2.08,0,0,4.33
"23","23","0","0","1","0","0","132","0","0","17292",-63.84730491,-33.05140117,"23",55.75,131.5,17292.25,"4",175.59,30831.8481,23090.085,0,0,175.59,0,0,30831.848,2.08,4.33,273.52,0,0,2.08,0,0,4.33
"24","24","0","0","1","0","0","132","0","0","17292",-63.84723405,-33.05141327,"24",58.61,131.5,17292.25,"4",173.19,29994.7761,22774.485,0,0,173.19,0,0,29994.776,2.08,4.33,273.52,0,0,2.08,0,0,4.33
"25","25","0","0","1","0","0","132","0","0","17292",-63.8471632,-33.05142536,"25",57.5,131.5,17292.25,"4",171.28,29336.8384,22523.32,0,0,171.28,0,0,29336.838,2.11,4.45,277.46,0,0,2.11,0,0,4.45
"26","26","0","0","1","0","0","132","0","0","17292",-63.84709235,-33.05143746,"26",62.42,131.5,17292.25,"4",171.89,29546.1721,22603.535,0,0,171.89,0,0,29546.172,2.15,4.62,282.72,0,0,2.15,0,0,4.62
"27","27","0","0","1","0","0","132","0","0","17292",-63.8470215,-33.05144956,"27",58.53,131.5,17292.25,"4",170.5,29070.25,22420.75,0,0,170.5,0,0,29070.25,2.15,4.62,282.72,0,0,2.15,0,0,4.62
"28","28","0","0","1","0","0","132","0","0","17292",-63.84695065,-33.05146166,"28",57.93,131.5,17292.25,"4",178.33,31801.5889,23450.395,0,0,178.33,0,0,31801.589,2.15,4.62,282.72,0,0,2.15,0,0,4.62
"29","29","0","0","1","0","0","132","0","0","17292",-63.84687979,-33.05147376,"29",59.54,131.5,17292.25,"4",182.83,33426.8089,24042.145,0,0,182.83,0,0,33426.809,2.17,4.71,285.36,0,0,2.17,0,0,4.71
"30","30","0","0","1","0","0","132","0","0","17292",-63.84680894,-33.05148586,"30",59.51,131.5,17292.25,"4",180.2,32472.04,23696.3,0,0,180.2,0,0,32472.04,2.18,4.75,286.67,0,0,2.18,0,0,4.75
"31","31","0","0","1","0","0","132","0","0","17292",-63.84673809,-33.05149795,"31",57.03,131.5,17292.25,"4",184.32,33973.8624,24238.08,0,0,184.32,0,0,33973.862,2.18,4.75,286.67,0,0,2.18,0,0,4.75
"32","32","0","0","1","0","0","132","0","0","17292",-63.84666724,-33.05151005,"32",57.48,131.5,17292.25,"4",188.07,35370.3249,24731.205,0,0,188.07,0,0,35370.325,2.18,4.75,286.67,0,0,2.18,0,0,4.75
"33","33","0","0","1","0","0","132","0","0","17292",-63.84659638,-33.05152215,"33",55.93,131.5,17292.25,"4",180.27,32497.2729,23705.505,0,0,180.27,0,0,32497.273,2.17,4.71,285.36,0,0,2.17,0,0,4.71
"34","34","0","0","1","0","0","132","0","0","17292",-63.84652553,-33.05153425,"34",58.62,131.5,17292.25,"4",168.21,28294.6041,22119.615,0,0,168.21,0,0,28294.604,2.13,4.54,280.09,0,0,2.13,0,0,4.54
"35","35","0","1","0","0","132","0","0","17292","0",-63.84645468,-33.05154635,"35",56.7,131.5,17292.25,"3",169.49,28726.8601,22287.935,0,169.49,0,0,28726.86,0,2.13,4.54,280.09,0,2.13,0,0,4.54,0
"36","36","0","1","0","0","132","0","0","17292","0",-63.84638383,-33.05155844,"36",55.81,131.5,17292.25,"3",170.71,29141.9041,22448.365,0,170.71,0,0,29141.904,0,2.13,4.54,280.09,0,2.13,0,0,4.54,0
"37","37","0","1","0","0","132","0","0","17292","0",-63.84631297,-33.05157054,"37",57.5,131.5,17292.25,"3",178.14,31733.8596,23425.41,0,178.14,0,0,31733.86,0,2.13,4.54,280.09,0,2.13,0,0,4.54,0
"38","38","0","1","0","0","132","0","0","17292","0",-63.84624212,-33.05158264,"38",60.83,131.5,17292.25,"3",185.37,34362.0369,24376.155,0,185.37,0,0,34362.037,0,2.14,4.58,281.41,0,2.14,0,0,4.58,0
"39","39","0","1","0","0","132","0","0","17292","0",-63.84617127,-33.05159474,"39",64.43,131.5,17292.25,"3",184.79,34147.3441,24299.885,0,184.79,0,0,34147.344,0,2.15,4.62,282.72,0,2.15,0,0,4.62,0
"40","40","0","1","0","0","132","0","0","17292","0",-63.84610042,-33.05160684,"40",63.58,131.5,17292.25,"3",187.5,35156.25,24656.25,0,187.5,0,0,35156.25,0,2.15,4.62,282.72,0,2.15,0,0,4.62,0
"41","41","0","1","0","0","132","0","0","17292","0",-63.84602956,-33.05161893,"41",63.45,131.5,17292.25,"3",189.91,36065.8081,24973.165,0,189.91,0,0,36065.808,0,2.15,4.62,282.72,0,2.15,0,0,4.62,0
"42","42","0","1","0","0","132","0","0","17292","0",-63.84595871,-33.05163103,"42",62.22,131.5,17292.25,"3",191.46,36656.9316,25176.99,0,191.46,0,0,36656.932,0,2.15,4.62,282.72,0,2.15,0,0,4.62,0
"43","43","0","1","0","0","132","0","0","17292","0",-63.84588786,-33.05164313,"43",61.6,131.5,17292.25,"3",189.47,35898.8809,24915.305,0,189.47,0,0,35898.881,0,2.13,4.54,280.09,0,2.13,0,0,4.54,0
"44","44","0","1","0","0","132","0","0","17292","0",-63.84581701,-33.05165523,"44",58.54,131.5,17292.25,"3",187.33,35092.5289,24633.895,0,187.33,0,0,35092.529,0,2.13,4.54,280.09,0,2.13,0,0,4.54,0
"45","45","0","1","0","0","132","0","0","17292","0",-63.84574615,-33.05166733,"45",56.19,131.5,17292.25,"3",188.21,35423.0041,24749.615,0,188.21,0,0,35423.004,0,2.13,4.54,280.09,0,2.13,0,0,4.54,0
"46","46","0","1","0","0","132","0","0","17292","0",-63.8456753,-33.05167942,"46",58.23,131.5,17292.25,"3",183.56,33694.2736,24138.14,0,183.56,0,0,33694.274,0,2.13,4.54,280.09,0,2.13,0,0,4.54,0
"47","47","0","1","0","0","132","0","0","17292","0",-63.84560445,-33.05169152,"47",60.07,131.5,17292.25,"3",181.66,33000.3556,23888.29,0,181.66,0,0,33000.356,0,2.15,4.62,282.72,0,2.15,0,0,4.62,0
"48","48","0","1","0","0","132","0","0","17292","0",-63.8455336,-33.05170362,"48",58.89,131.5,17292.25,"3",187.98,35336.4804,24719.37,0,187.98,0,0,35336.48,0,2.15,4.62,282.72,0,2.15,0,0,4.62,0
"49","49","0","1","0","0","132","0","0","17292","0",-63.84546274,-33.05171572,"49",54.36,131.5,17292.25,"3",187.97,35332.7209,24718.055,0,187.97,0,0,35332.721,0,2.15,4.62,282.72,0,2.15,0,0,4.62,0
"50","50","0","1","0","0","132","0","0","17292","0",-63.84539189,-33.05172781,"50",57.64,131.5,17292.25,"3",185.86,34543.9396,24440.59,0,185.86,0,0,34543.94,0,2.15,4.62,282.72,0,2.15,0,0,4.62,0
"51","51","1","0","0","132","0","0","17292","0","0",-63.84532104,-33.05173991,"51",59.94,131.5,17292.25,"2",182.12,33167.6944,23948.78,182.12,0,0,33167.694,0,0,2.15,4.62,282.72,2.15,0,0,4.62,0,0
"52","52","1","0","0","132","0","0","17292","0","0",-63.84525019,-33.05175201,"52",58.96,131.5,17292.25,"2",182.57,33331.8049,24007.955,182.57,0,0,33331.805,0,0,2.17,4.71,285.36,2.17,0,0,4.71,0,0
"53","53","1","0","0","132","0","0","17292","0","0",-63.84517933,-33.05176411,"53",61.77,131.5,17292.25,"2",178.07,31708.9249,23416.205,178.07,0,0,31708.925,0,0,2.17,4.71,285.36,2.17,0,0,4.71,0,0
"54","54","1","0","0","132","0","0","17292","0","0",-63.84510848,-33.0517762,"54",66.41,131.5,17292.25,"2",177.83,31623.5089,23384.645,177.83,0,0,31623.509,0,0,2.17,4.71,285.36,2.17,0,0,4.71,0,0
"55","55","1","0","0","132","0","0","17292","0","0",-63.84503763,-33.0517883,"55",66.06,131.5,17292.25,"2",176.17,31035.8689,23166.355,176.17,0,0,31035.869,0,0,2.17,4.71,285.36,2.17,0,0,4.71,0,0
"56","56","1","0","0","132","0","0","17292","0","0",-63.84496678,-33.0518004,"56",62.13,131.5,17292.25,"2",176.56,31173.4336,23217.64,176.56,0,0,31173.434,0,0,2.17,4.71,285.36,2.17,0,0,4.71,0,0
"57","57","1","0","0","132","0","0","17292","0","0",-63.84489592,-33.05181249,"57",63.19,131.5,17292.25,"2",177.81,31616.3961,23382.015,177.81,0,0,31616.396,0,0,2.17,4.71,285.36,2.17,0,0,4.71,0,0
"58","58","1","0","0","132","0","0","17292","0","0",-63.84482507,-33.05182459,"58",63.98,131.5,17292.25,"2",171.14,29288.8996,22504.91,171.14,0,0,29288.9,0,0,2.17,4.71,285.36,2.17,0,0,4.71,0,0
"59","59","1","0","0","132","0","0","17292","0","0",-63.84475422,-33.05183669,"59",67.59,131.5,17292.25,"2",173.93,30251.6449,22871.795,173.93,0,0,30251.645,0,0,2.17,4.71,285.36,2.17,0,0,4.71,0,0
"60","60","1","0","0","132","0","0","17292","0","0",-63.84468336,-33.05184879,"60",68.4,131.5,17292.25,"2",171.39,29374.5321,22537.785,171.39,0,0,29374.532,0,0,2.16,4.67,284.04,2.16,0,0,4.67,0,0
"61","61","1","0","0","132","0","0","17292","0","0",-63.84461251,-33.05186088,"61",70.29,131.5,17292.25,"2",173.36,30053.6896,22796.84,173.36,0,0,30053.69,0,0,2.15,4.62,282.72,2.15,0,0,4.62,0,0
"62","62","1","0","0","132","0","0","17292","0","0",-63.84454166,-33.05187298,"62",71,131.5,17292.25,"2",177.07,31353.7849,23284.705,177.07,0,0,31353.785,0,0,2.15,4.62,282.72,2.15,0,0,4.62,0,0
"63","63","1","0","0","132","0","0","17292","0","0",-63.84447081,-33.05188508,"63",71.84,131.5,17292.25,"2",173.91,30244.6881,22869.165,173.91,0,0,30244.688,0,0,2.15,4.62,282.72,2.15,0,0,4.62,0,0
"64","64","1","0","0","132","0","0","17292","0","0",-63.8443291,-33.05190927,"64",68.33,131.5,17292.25,"2",169.11,28598.1921,22237.965,169.11,0,0,28598.192,0,0,2.15,4.62,282.72,2.15,0,0,4.62,0,0
"65","65","1","0","0","132","0","0","17292","0","0",-63.84425825,-33.05192137,"65",67.2,131.5,17292.25,"2",169.18,28621.8724,22247.17,169.18,0,0,28621.872,0,0,2.15,4.62,282.72,2.15,0,0,4.62,0,0
"66","66","1","0","0","132","0","0","17292","0","0",-63.84418739,-33.05193346,"66",66.92,131.5,17292.25,"2",166.88,27848.9344,21944.72,166.88,0,0,27848.934,0,0,2.15,4.62,282.72,2.15,0,0,4.62,0,0
"67","67","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84411654,-33.05194556,"67",70.35,131.5,17292.25,"1",168,28224,22092,-168,-168,-168,-28224,-28224,-28224,2.15,4.62,282.72,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"68","68","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84404569,-33.05195766,"68",67.77,131.5,17292.25,"1",162.85,26520.1225,21414.775,-162.85,-162.85,-162.85,-26520.123,-26520.123,-26520.123,2.14,4.58,281.41,-2.14,-2.14,-2.14,-4.58,-4.58,-4.58
"69","69","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84397483,-33.05196976,"69",68.47,131.5,17292.25,"1",169.67,28787.9089,22311.605,-169.67,-169.67,-169.67,-28787.909,-28787.909,-28787.909,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"70","70","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84390398,-33.05198185,"70",68.58,131.5,17292.25,"1",168.78,28486.6884,22194.57,-168.78,-168.78,-168.78,-28486.688,-28486.688,-28486.688,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"71","71","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84383313,-33.05199395,"71",67.61,131.5,17292.25,"1",168.87,28517.0769,22206.405,-168.87,-168.87,-168.87,-28517.077,-28517.077,-28517.077,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"72","72","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84376228,-33.05200604,"72",69.04,131.5,17292.25,"1",166.42,27695.6164,21884.23,-166.42,-166.42,-166.42,-27695.616,-27695.616,-27695.616,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"73","73","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84369142,-33.05201814,"73",64.38,131.5,17292.25,"1",168.46,28378.7716,22152.49,-168.46,-168.46,-168.46,-28378.772,-28378.772,-28378.772,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"74","74","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84362057,-33.05203024,"74",66.42,131.5,17292.25,"1",165.59,27420.0481,21775.085,-165.59,-165.59,-165.59,-27420.048,-27420.048,-27420.048,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"75","75","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84354972,-33.05204233,"75",63.58,131.5,17292.25,"1",162.87,26526.6369,21417.405,-162.87,-162.87,-162.87,-26526.637,-26526.637,-26526.637,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"76","76","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84347886,-33.05205443,"76",62.57,131.5,17292.25,"1",171.35,29360.8225,22532.525,-171.35,-171.35,-171.35,-29360.822,-29360.822,-29360.822,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"77","77","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84291204,-33.0521512,"77",71.76,131.5,17292.25,"1",163.52,26738.7904,21502.88,-163.52,-163.52,-163.52,-26738.79,-26738.79,-26738.79,2.15,4.62,282.72,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"78","78","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84284118,-33.0521633,"78",70.99,131.5,17292.25,"1",165.5,27390.25,21763.25,-165.5,-165.5,-165.5,-27390.25,-27390.25,-27390.25,2.15,4.62,282.72,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"79","79","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84248692,-33.05222378,"79",69.1,131.5,17292.25,"1",169.59,28760.7681,22301.085,-169.59,-169.59,-169.59,-28760.768,-28760.768,-28760.768,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"80","80","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84241606,-33.05223587,"80",76.65,131.5,17292.25,"1",169.21,28632.0241,22251.115,-169.21,-169.21,-169.21,-28632.024,-28632.024,-28632.024,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"81","81","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84234521,-33.05224797,"81",79,131.5,17292.25,"1",174.36,30401.4096,22928.34,-174.36,-174.36,-174.36,-30401.41,-30401.41,-30401.41,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"82","82","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84227435,-33.05226006,"82",70.97,131.5,17292.25,"1",172.53,29766.6009,22687.695,-172.53,-172.53,-172.53,-29766.601,-29766.601,-29766.601,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
"83","83","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.8422035,-33.05227216,"83",76.65,131.5,17292.25,"1",181.2,32833.44,23827.8,-181.2,-181.2,-181.2,-32833.44,-32833.44,-32833.44,2.1,4.41,276.15,-2.1,-2.1,-2.1,-4.41,-4.41,-4.41
"84","84","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84213265,-33.05228426,"84",76.48,131.5,17292.25,"1",174.06,30296.8836,22888.89,-174.06,-174.06,-174.06,-30296.884,-30296.884,-30296.884,2.07,4.28,272.2,-2.07,-2.07,-2.07,-4.28,-4.28,-4.28
"85","85","-1","-1","-1","-132","-132","-132","-17292","-17292","-17292",-63.84206179,-33.05229635,"85",72.92,131.5,17292.25,"1",171.79,29511.8041,22590.385,-171.79,-171.79,-171.79,-29511.804,-29511.804,-29511.804,2.07,4.28,272.2,-2.07,-2.07,-2.07,-4.28,-4.28,-4.28
"86","86","0","0","1","0","0","66","0","0","4356",-63.84884928,-33.05107532,"86",71.22,66,4356,"4",162.09,26273.1681,10697.94,0,0,162.09,0,0,26273.168,2.21,4.88,145.86,0,0,2.21,0,0,4.88
"87","87","0","0","1","0","0","66","0","0","4356",-63.84877843,-33.05108742,"87",67.93,66,4356,"4",173.31,30036.3561,11438.46,0,0,173.31,0,0,30036.356,2.22,4.93,146.52,0,0,2.22,0,0,4.93
"88","88","0","0","1","0","0","66","0","0","4356",-63.84870758,-33.05109952,"88",69.86,66,4356,"4",168.83,28503.5689,11142.78,0,0,168.83,0,0,28503.569,2.24,5.02,147.84,0,0,2.24,0,0,5.02
"89","89","0","0","1","0","0","66","0","0","4356",-63.84863673,-33.05111162,"89",74.24,66,4356,"4",174.56,30471.1936,11520.96,0,0,174.56,0,0,30471.194,2.24,5.02,147.84,0,0,2.24,0,0,5.02
"90","90","0","0","1","0","0","66","0","0","4356",-63.84856587,-33.05112372,"90",73.78,66,4356,"4",174.44,30429.3136,11513.04,0,0,174.44,0,0,30429.314,2.24,5.02,147.84,0,0,2.24,0,0,5.02
"91","91","0","0","1","0","0","66","0","0","4356",-63.84849502,-33.05113582,"91",71.99,66,4356,"4",175.78,30898.6084,11601.48,0,0,175.78,0,0,30898.608,2.24,5.02,147.84,0,0,2.24,0,0,5.02
"92","92","0","0","1","0","0","66","0","0","4356",-63.84842417,-33.05114792,"92",67.32,66,4356,"4",175.76,30891.5776,11600.16,0,0,175.76,0,0,30891.578,2.21,4.88,145.86,0,0,2.21,0,0,4.88
"93","93","0","0","1","0","0","66","0","0","4356",-63.84835332,-33.05116002,"93",64.41,66,4356,"4",172.48,29749.3504,11383.68,0,0,172.48,0,0,29749.35,2.16,4.67,142.56,0,0,2.16,0,0,4.67
"94","94","0","0","1","0","0","66","0","0","4356",-63.84828247,-33.05117212,"94",69.48,66,4356,"4",173.23,30008.6329,11433.18,0,0,173.23,0,0,30008.633,2.17,4.71,143.22,0,0,2.17,0,0,4.71
"95","95","0","0","1","0","0","66","0","0","4356",-63.84821162,-33.05118421,"95",74.21,66,4356,"4",173.02,29935.9204,11419.32,0,0,173.02,0,0,29935.92,2.15,4.62,141.9,0,0,2.15,0,0,4.62
"96","96","0","0","1","0","0","66","0","0","4356",-63.84814076,-33.05119631,"96",70.59,66,4356,"4",171.1,29275.21,11292.6,0,0,171.1,0,0,29275.21,2.15,4.62,141.9,0,0,2.15,0,0,4.62
"97","97","0","0","1","0","0","66","0","0","4356",-63.84806991,-33.05120841,"97",70.03,66,4356,"4",172.26,29673.5076,11369.16,0,0,172.26,0,0,29673.508,2.13,4.54,140.58,0,0,2.13,0,0,4.54
"98","98","0","0","1","0","0","66","0","0","4356",-63.84799906,-33.05122051,"98",67.17,66,4356,"4",171.18,29302.5924,11297.88,0,0,171.18,0,0,29302.592,2.13,4.54,140.58,0,0,2.13,0,0,4.54
"99","99","0","0","1","0","0","66","0","0","4356",-63.84792821,-33.05123261,"99",63.43,66,4356,"4",172.27,29676.9529,11369.82,0,0,172.27,0,0,29676.953,2.13,4.54,140.58,0,0,2.13,0,0,4.54
"100","100","0","0","1","0","0","66","0","0","4356",-63.84785736,-33.05124471,"100",62.75,66,4356,"4",174,30276,11484,0,0,174,0,0,30276,2.13,4.54,140.58,0,0,2.13,0,0,4.54
"101","101","0","0","1","0","0","66","0","0","4356",-63.8477865,-33.05125681,"101",64.66,66,4356,"4",171.67,29470.5889,11330.22,0,0,171.67,0,0,29470.589,2.1,4.41,138.6,0,0,2.1,0,0,4.41
"102","102","0","0","1","0","0","66","0","0","4356",-63.84771565,-33.05126891,"102",65.65,66,4356,"4",179.22,32119.8084,11828.52,0,0,179.22,0,0,32119.808,2.1,4.41,138.6,0,0,2.1,0,0,4.41
"103","103","0","0","1","0","0","66","0","0","4356",-63.8476448,-33.05128101,"103",61.52,66,4356,"4",174.72,30527.0784,11531.52,0,0,174.72,0,0,30527.078,2.1,4.41,138.6,0,0,2.1,0,0,4.41
"104","104","0","0","1","0","0","66","0","0","4356",-63.84757395,-33.0512931,"104",58.04,66,4356,"4",174.48,30443.2704,11515.68,0,0,174.48,0,0,30443.27,2.1,4.41,138.6,0,0,2.1,0,0,4.41
"105","105","0","0","1","0","0","66","0","0","4356",-63.8475031,-33.0513052,"105",56.16,66,4356,"4",175.78,30898.6084,11601.48,0,0,175.78,0,0,30898.608,2.1,4.41,138.6,0,0,2.1,0,0,4.41
"106","106","0","0","1","0","0","66","0","0","4356",-63.84743224,-33.0513173,"106",57.81,66,4356,"4",175.15,30677.5225,11559.9,0,0,175.15,0,0,30677.522,2.08,4.33,137.28,0,0,2.08,0,0,4.33
"107","107","0","0","1","0","0","66","0","0","4356",-63.84736139,-33.0513294,"107",61.03,66,4356,"4",171.53,29422.5409,11320.98,0,0,171.53,0,0,29422.541,2.08,4.33,137.28,0,0,2.08,0,0,4.33
"108","108","0","0","1","0","0","66","0","0","4356",-63.84729054,-33.0513415,"108",60.31,66,4356,"4",174.18,30338.6724,11495.88,0,0,174.18,0,0,30338.672,2.08,4.33,137.28,0,0,2.08,0,0,4.33
"109","109","0","0","1","0","0","66","0","0","4356",-63.84721969,-33.0513536,"109",59.89,66,4356,"4",171.62,29453.4244,11326.92,0,0,171.62,0,0,29453.424,2.08,4.33,137.28,0,0,2.08,0,0,4.33
"110","110","0","0","1","0","0","66","0","0","4356",-63.84714884,-33.0513657,"110",57.69,66,4356,"4",168.19,28287.8761,11100.54,0,0,168.19,0,0,28287.876,2.15,4.62,141.9,0,0,2.15,0,0,4.62
