fid,primaryindex,ID,TOP3,TOP2,TOP4,NXTOP2,NXTOP3,NXTOP4,N2XTOP2,N2XTOP3,N2XTOP4,LONGITUDE,LATITUDE,YIELD,TOPO,OBS,N,N2,BV,BV2,NXBV,BVXT2,BVXT3,BVXT4,BV2XT2,BV2XT3,BV2XT4
"17","17","2438","0","0","1",0,0,124.6,0,0,15525.16,-63.84744149,-33.05034412,57.63,"4","17",124.6,15525.16,177.62,31548.864,22131.452,0,0,177.62,0,0,31548.86
"18","18","2439","0","0","1",0,0,124.6,0,0,15525.16,-63.84737122,-33.05036859,56.71,"4","18",124.6,15525.16,177.71,31580.844,22142.666,0,0,177.71,0,0,31580.84
"19","19","2440","0","0","1",0,0,124.6,0,0,15525.16,-63.84730095,-33.05039306,57.99,"4","19",124.6,15525.16,176.91,31297.148,22042.986,0,0,176.91,0,0,31297.15
"20","20","2441","0","0","1",0,0,124.6,0,0,15525.16,-63.84723067,-33.05041753,53.72,"4","20",124.6,15525.16,177.37,31460.117,22100.302,0,0,177.37,0,0,31460.12
"21","21","2442","0","0","1",0,0,124.6,0,0,15525.16,-63.8471604,-33.05044199,52.06,"4","21",124.6,15525.16,173.85,30223.822,21661.71,0,0,173.85,0,0,30223.82
"22","22","2443","0","0","1",0,0,124.6,0,0,15525.16,-63.84709013,-33.05046646,52.51,"4","22",124.6,15525.16,178.33,31801.589,22219.918,0,0,178.33,0,0,31801.59
"23","23","2444","0","0","1",0,0,124.6,0,0,15525.16,-63.84701985,-33.05049093,62.98,"4","23",124.6,15525.16,181.74,33029.428,22644.804,0,0,181.74,0,0,33029.43
"24","24","2445","0","0","1",0,0,124.6,0,0,15525.16,-63.84694958,-33.0505154,56.59,"4","24",124.6,15525.16,179.73,32302.873,22394.358,0,0,179.73,0,0,32302.87
"25","25","2446","0","0","1",0,0,124.6,0,0,15525.16,-63.84687931,-33.05053986,54.31,"4","25",124.6,15525.16,177.37,31460.117,22100.302,0,0,177.37,0,0,31460.12
"26","26","2447","0","0","1",0,0,124.6,0,0,15525.16,-63.84680904,-33.05056433,56.21,"4","26",124.6,15525.16,176.16,31032.346,21949.536,0,0,176.16,0,0,31032.35
"27","27","2448","0","0","1",0,0,124.6,0,0,15525.16,-63.84673876,-33.0505888,57.16,"4","27",124.6,15525.16,176.33,31092.269,21970.718,0,0,176.33,0,0,31092.27
"28","28","2449","0","0","1",0,0,124.6,0,0,15525.16,-63.84666849,-33.05061327,53.31,"4","28",124.6,15525.16,177.98,31676.88,22176.308,0,0,177.98,0,0,31676.88
"29","29","2450","0","0","1",0,0,124.6,0,0,15525.16,-63.84659822,-33.05063773,54.55,"4","29",124.6,15525.16,171.94,29563.364,21423.724,0,0,171.94,0,0,29563.36
"30","30","2451","1","0","0",0,124.6,0,0,15525.16,0,-63.84652795,-33.0506622,54.62,"3","30",124.6,15525.16,169.76,28818.458,21152.096,0,169.76,0,0,28818.46,0
"31","31","2452","1","0","0",0,124.6,0,0,15525.16,0,-63.84645767,-33.05068667,58.34,"3","31",124.6,15525.16,166.97,27878.981,20804.462,0,166.97,0,0,27878.98,0
"32","32","2453","1","0","0",0,124.6,0,0,15525.16,0,-63.8463874,-33.05071113,53.04,"3","32",124.6,15525.16,168.45,28375.402,20988.87,0,168.45,0,0,28375.4,0
"33","33","2454","1","0","0",0,124.6,0,0,15525.16,0,-63.84631713,-33.0507356,50.45,"3","33",124.6,15525.16,164.94,27205.204,20551.524,0,164.94,0,0,27205.2,0
"34","34","2455","1","0","0",0,124.6,0,0,15525.16,0,-63.84624685,-33.05076007,53.23,"3","34",124.6,15525.16,169.65,28781.123,21138.39,0,169.65,0,0,28781.12,0
"35","35","2456","1","0","0",0,124.6,0,0,15525.16,0,-63.84617658,-33.05078454,49.81,"3","35",124.6,15525.16,174.51,30453.74,21743.946,0,174.51,0,0,30453.74,0
"36","36","2457","1","0","0",0,124.6,0,0,15525.16,0,-63.84610631,-33.050809,49.58,"3","36",124.6,15525.16,183.81,33786.116,22902.726,0,183.81,0,0,33786.12,0
"37","37","2458","1","0","0",0,124.6,0,0,15525.16,0,-63.84603603,-33.05083347,55.14,"3","37",124.6,15525.16,190.14,36153.22,23691.444,0,190.14,0,0,36153.22,0
"38","38","2459","1","0","0",0,124.6,0,0,15525.16,0,-63.84596576,-33.05085794,47.86,"3","38",124.6,15525.16,187.42,35126.256,23352.532,0,187.42,0,0,35126.26,0
"39","39","2460","1","0","0",0,124.6,0,0,15525.16,0,-63.84589549,-33.0508824,43.33,"3","39",124.6,15525.16,188.63,35581.277,23503.298,0,188.63,0,0,35581.28,0
"40","40","2461","1","0","0",0,124.6,0,0,15525.16,0,-63.84582521,-33.05090687,35.73,"3","40",124.6,15525.16,194.42,37799.136,24224.732,0,194.42,0,0,37799.14,0
"41","41","2462","1","0","0",0,124.6,0,0,15525.16,0,-63.84575494,-33.05093134,31.95,"3","41",124.6,15525.16,194.33,37764.149,24213.518,0,194.33,0,0,37764.15,0
"42","42","2463","1","0","0",0,124.6,0,0,15525.16,0,-63.84568467,-33.0509558,38.7,"3","42",124.6,15525.16,196.02,38423.84,24424.092,0,196.02,0,0,38423.84,0
"43","43","2464","1","0","0",0,124.6,0,0,15525.16,0,-63.84561439,-33.05098027,34.73,"3","43",124.6,15525.16,196.36,38557.25,24466.456,0,196.36,0,0,38557.25,0
"44","44","2465","1","0","0",0,124.6,0,0,15525.16,0,-63.84554412,-33.05100474,34.7,"3","44",124.6,15525.16,181.61,32982.192,22628.606,0,181.61,0,0,32982.19,0
"45","45","2466","1","0","0",0,124.6,0,0,15525.16,0,-63.84547385,-33.0510292,42.03,"3","45",124.6,15525.16,177.66,31563.076,22136.436,0,177.66,0,0,31563.08,0
"46","46","2467","1","0","0",0,124.6,0,0,15525.16,0,-63.84540357,-33.05105367,47.61,"3","46",124.6,15525.16,183,33489,22801.8,0,183,0,0,33489,0
"47","47","2468","1","0","0",0,124.6,0,0,15525.16,0,-63.8453333,-33.05107814,44.89,"3","47",124.6,15525.16,189.09,35755.028,23560.614,0,189.09,0,0,35755.03,0
"48","48","2469","1","0","0",0,124.6,0,0,15525.16,0,-63.84526303,-33.0511026,43.16,"3","48",124.6,15525.16,186.97,34957.781,23296.462,0,186.97,0,0,34957.78,0
"49","49","2470","1","0","0",0,124.6,0,0,15525.16,0,-63.84519275,-33.05112707,46.78,"3","49",124.6,15525.16,184.98,34217.6,23048.508,0,184.98,0,0,34217.6,0
"50","50","2471","0","1","0",124.6,0,0,15525.16,0,0,-63.84512248,-33.05115154,49.63,"2","50",124.6,15525.16,185.81,34525.356,23151.926,185.81,0,0,34525.36,0,0
"51","51","2472","0","1","0",124.6,0,0,15525.16,0,0,-63.8450522,-33.051176,51.19,"2","51",124.6,15525.16,184.94,34202.804,23043.524,184.94,0,0,34202.8,0,0
"52","52","2473","0","1","0",124.6,0,0,15525.16,0,0,-63.84498193,-33.05120047,64.43,"2","52",124.6,15525.16,184.67,34103.009,23009.882,184.67,0,0,34103.01,0,0
"53","53","2474","0","1","0",124.6,0,0,15525.16,0,0,-63.84491166,-33.05122494,72.19,"2","53",124.6,15525.16,176.48,31145.19,21989.408,176.48,0,0,31145.19,0,0
"54","54","2475","0","1","0",124.6,0,0,15525.16,0,0,-63.84484138,-33.0512494,72.26,"2","54",124.6,15525.16,176.9,31293.61,22041.74,176.9,0,0,31293.61,0,0
"55","55","2476","0","1","0",124.6,0,0,15525.16,0,0,-63.84477111,-33.05127387,84.66,"2","55",124.6,15525.16,174.57,30474.685,21751.422,174.57,0,0,30474.69,0,0
"56","56","2477","0","1","0",124.6,0,0,15525.16,0,0,-63.84470083,-33.05129833,91.75,"2","56",124.6,15525.16,166.39,27685.632,20732.194,166.39,0,0,27685.63,0,0
"57","57","2478","0","1","0",124.6,0,0,15525.16,0,0,-63.84463056,-33.0513228,91.62,"2","57",124.6,15525.16,164.74,27139.268,20526.604,164.74,0,0,27139.27,0,0
"58","58","2479","0","1","0",124.6,0,0,15525.16,0,0,-63.84456029,-33.05134727,99.53,"2","58",124.6,15525.16,166.4,27688.96,20733.44,166.4,0,0,27688.96,0,0
"59","59","2480","0","1","0",124.6,0,0,15525.16,0,0,-63.84449001,-33.05137173,96.85,"2","59",124.6,15525.16,168.37,28348.457,20978.902,168.37,0,0,28348.46,0,0
"60","60","2481","0","1","0",124.6,0,0,15525.16,0,0,-63.84441974,-33.0513962,94.47,"2","60",124.6,15525.16,166.64,27768.89,20763.344,166.64,0,0,27768.89,0,0
"61","61","2482","0","1","0",124.6,0,0,15525.16,0,0,-63.84434946,-33.05142066,100.64,"2","61",124.6,15525.16,173.25,30015.563,21586.95,173.25,0,0,30015.56,0,0
"62","62","2483","0","1","0",124.6,0,0,15525.16,0,0,-63.84427919,-33.05144513,103.75,"2","62",124.6,15525.16,171.08,29268.366,21316.568,171.08,0,0,29268.37,0,0
"63","63","2484","0","1","0",124.6,0,0,15525.16,0,0,-63.84420892,-33.0514696,102.01,"2","63",124.6,15525.16,165.86,27509.54,20666.156,165.86,0,0,27509.54,0,0
"64","64","2485","0","1","0",124.6,0,0,15525.16,0,0,-63.84413864,-33.05149406,101.66,"2","64",124.6,15525.16,168.49,28388.88,20993.854,168.49,0,0,28388.88,0,0
"65","65","2486","0","1","0",124.6,0,0,15525.16,0,0,-63.84406837,-33.05151853,105.88,"2","65",124.6,15525.16,167.05,27905.703,20814.43,167.05,0,0,27905.7,0,0
"66","66","2487","0","1","0",124.6,0,0,15525.16,0,0,-63.84399809,-33.05154299,104.58,"2","66",124.6,15525.16,166.52,27728.91,20748.392,166.52,0,0,27728.91,0,0
"67","67","2488","0","1","0",124.6,0,0,15525.16,0,0,-63.84392782,-33.05156746,104.27,"2","67",124.6,15525.16,166.26,27642.388,20715.996,166.26,0,0,27642.39,0,0
"68","68","2489","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84385754,-33.05159193,100.39,"1","68",124.6,15525.16,170.84,29186.306,21286.664,-170.84,-170.84,-170.84,-29186.31,-29186.3,-29186.3
"69","69","2490","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84378727,-33.05161639,101.93,"1","69",124.6,15525.16,171.57,29436.265,21377.622,-171.57,-171.57,-171.57,-29436.26,-29436.2,-29436.2
"70","70","2491","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84371699,-33.05164086,102.12,"1","70",124.6,15525.16,165.55,27406.803,20627.53,-165.55,-165.55,-165.55,-27406.8,-27406.8,-27406.8
"71","71","2492","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84364672,-33.05166532,101.6,"1","71",124.6,15525.16,163.62,26771.504,20387.052,-163.62,-163.62,-163.62,-26771.5,-26771.5,-26771.5
"72","72","2493","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84357645,-33.05168979,105.27,"1","72",124.6,15525.16,165.14,27271.22,20576.444,-165.14,-165.14,-165.14,-27271.22,-27271.2,-27271.2
"73","73","2494","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84350617,-33.05171425,100.65,"1","73",124.6,15525.16,162.33,26351.029,20226.318,-162.33,-162.33,-162.33,-26351.03,-26351,-26351
"74","74","2495","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.8434359,-33.05173872,99.63,"1","74",124.6,15525.16,170.27,28991.873,21215.642,-170.27,-170.27,-170.27,-28991.87,-28991.8,-28991.8
"75","75","2496","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84336562,-33.05176318,99.61,"1","75",124.6,15525.16,167.53,28066.301,20874.238,-167.53,-167.53,-167.53,-28066.3,-28066.3,-28066.3
"76","76","2497","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84329535,-33.05178765,95.93,"1","76",124.6,15525.16,169.89,28862.612,21168.294,-169.89,-169.89,-169.89,-28862.61,-28862.6,-28862.6
"77","77","2498","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84322507,-33.05181212,116.64,"1","77",124.6,15525.16,159.75,25520.063,19904.85,-159.75,-159.75,-159.75,-25520.06,-25520,-25520
"78","78","2499","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.8431548,-33.05183658,97.56,"1","78",124.6,15525.16,163.36,26686.49,20354.656,-163.36,-163.36,-163.36,-26686.49,-26686.4,-26686.4
"79","79","2500","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84308452,-33.05186105,110.97,"1","79",124.6,15525.16,157.97,24954.521,19683.062,-157.97,-157.97,-157.97,-24954.52,-24954.5,-24954.5
"80","80","2501","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84301425,-33.05188551,111.1,"1","80",124.6,15525.16,154.68,23925.902,19273.128,-154.68,-154.68,-154.68,-23925.9,-23925.9,-23925.9
"81","81","2502","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84294397,-33.05190998,99.9,"1","81",124.6,15525.16,157.29,24740.144,19598.334,-157.29,-157.29,-157.29,-24740.14,-24740.1,-24740.1
"82","82","2503","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.8428737,-33.05193444,99.76,"1","82",124.6,15525.16,162.19,26305.596,20208.874,-162.19,-162.19,-162.19,-26305.6,-26305.6,-26305.6
"83","83","2504","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84280342,-33.05195891,110.56,"1","83",124.6,15525.16,163.7,26797.69,20397.02,-163.7,-163.7,-163.7,-26797.69,-26797.6,-26797.6
"84","84","2505","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84273315,-33.05198337,103.67,"1","84",124.6,15525.16,155.39,24146.052,19361.594,-155.39,-155.39,-155.39,-24146.05,-24146,-24146
"85","85","2506","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84266287,-33.05200784,100.57,"1","85",124.6,15525.16,166.94,27868.964,20800.724,-166.94,-166.94,-166.94,-27868.96,-27868.9,-27868.9
"86","86","2507","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.8425926,-33.0520323,99.85,"1","86",124.6,15525.16,169.68,28791.302,21142.128,-169.68,-169.68,-169.68,-28791.3,-28791.3,-28791.3
"87","87","2508","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84252232,-33.05205677,85.64,"1","87",124.6,15525.16,169.63,28774.337,21135.898,-169.63,-169.63,-169.63,-28774.34,-28774.3,-28774.3
"88","88","2509","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84245205,-33.05208123,91.69,"1","88",124.6,15525.16,168.95,28544.102,21051.17,-168.95,-168.95,-168.95,-28544.1,-28544.1,-28544.1
"89","89","2510","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84238177,-33.0521057,100.49,"1","89",124.6,15525.16,168.73,28469.813,21023.758,-168.73,-168.73,-168.73,-28469.81,-28469.8,-28469.8
"90","90","2511","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.8423115,-33.05213016,95.56,"1","90",124.6,15525.16,174.97,30614.501,21801.262,-174.97,-174.97,-174.97,-30614.5,-30614.5,-30614.5
"91","91","2512","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84224122,-33.05215463,97.28,"1","91",124.6,15525.16,180.59,32612.748,22501.514,-180.59,-180.59,-180.59,-32612.75,-32612.7,-32612.7
"92","92","2513","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84217094,-33.05217909,99.35,"1","92",124.6,15525.16,173.11,29967.072,21569.506,-173.11,-173.11,-173.11,-29967.07,-29967,-29967
"93","93","2514","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84210067,-33.05220356,98.1,"1","93",124.6,15525.16,167.85,28173.622,20914.11,-167.85,-167.85,-167.85,-28173.62,-28173.6,-28173.6
"94","94","2515","-1","-1","-1",-124.6,-124.6,-124.6,-15525.16,-15525.16,-15525.16,-63.84203039,-33.05222802,96.05,"1","94",124.6,15525.16,170,28900,21182,-170,-170,-170,-28900,-28900,-28900
"95","95","2527","0","0","1",0,0,75.4,0,0,5685.16,-63.84853679,-33.04989345,87.73,"4","95",75.4,5685.16,166.49,27718.92,12553.346,0,0,166.49,0,0,27718.92
"96","96","2528","0","0","1",0,0,75.4,0,0,5685.16,-63.84846652,-33.04991792,98.59,"4","96",75.4,5685.16,171.17,29299.169,12906.218,0,0,171.17,0,0,29299.17
"97","97","2529","0","0","1",0,0,75.4,0,0,5685.16,-63.84839625,-33.04994239,104.14,"4","97",75.4,5685.16,175.16,30681.026,13207.064,0,0,175.16,0,0,30681.03
"98","98","2530","0","0","1",0,0,75.4,0,0,5685.16,-63.84832597,-33.04996686,92.39,"4","98",75.4,5685.16,175.09,30656.508,13201.786,0,0,175.09,0,0,30656.51
"99","99","2531","0","0","1",0,0,75.4,0,0,5685.16,-63.8482557,-33.04999133,19.41,"4","99",75.4,5685.16,177.46,31492.052,13380.484,0,0,177.46,0,0,31492.05
"100","100","2532","0","0","1",0,0,75.4,0,0,5685.16,-63.84818543,-33.0500158,108.03,"4","100",75.4,5685.16,173.7,30171.69,13096.98,0,0,173.7,0,0,30171.69
"101","101","2533","0","0","1",0,0,75.4,0,0,5685.16,-63.84811516,-33.05004026,93.42,"4","101",75.4,5685.16,181.37,32895.077,13675.298,0,0,181.37,0,0,32895.08
"102","102","2534","0","0","1",0,0,75.4,0,0,5685.16,-63.84804489,-33.05006473,90.68,"4","102",75.4,5685.16,193.82,37566.192,14614.028,0,0,193.82,0,0,37566.19
"103","103","2535","0","0","1",0,0,75.4,0,0,5685.16,-63.84797461,-33.0500892,86.41,"4","103",75.4,5685.16,170.22,28974.848,12834.588,0,0,170.22,0,0,28974.85
"104","104","2536","0","0","1",0,0,75.4,0,0,5685.16,-63.84790434,-33.05011367,90.84,"4","104",75.4,5685.16,176.97,31318.381,13343.538,0,0,176.97,0,0,31318.38
"105","105","2537","0","0","1",0,0,75.4,0,0,5685.16,-63.84783407,-33.05013814,83.2,"4","105",75.4,5685.16,179.78,32320.848,13555.412,0,0,179.78,0,0,32320.85
"106","106","2538","0","0","1",0,0,75.4,0,0,5685.16,-63.8477638,-33.0501626,81.9,"4","106",75.4,5685.16,183.94,33833.924,13869.076,0,0,183.94,0,0,33833.92
"107","107","2539","0","0","1",0,0,75.4,0,0,5685.16,-63.84769353,-33.05018707,64.39,"4","107",75.4,5685.16,179.65,32274.123,13545.61,0,0,179.65,0,0,32274.12
"108","108","2540","0","0","1",0,0,75.4,0,0,5685.16,-63.84762325,-33.05021154,58.88,"4","108",75.4,5685.16,177.68,31570.182,13397.072,0,0,177.68,0,0,31570.18
"109","109","2541","0","0","1",0,0,75.4,0,0,5685.16,-63.84755298,-33.05023601,56.97,"4","109",75.4,5685.16,180.74,32666.948,13627.796,0,0,180.74,0,0,32666.95
"110","110","2542","0","0","1",0,0,75.4,0,0,5685.16,-63.84748271,-33.05026047,55.63,"4","110",75.4,5685.16,181.21,32837.064,13663.234,0,0,181.21,0,0,32837.06
"111","111","2543","0","0","1",0,0,75.4,0,0,5685.16,-63.84741244,-33.05028494,57.33,"4","111",75.4,5685.16,180.94,32739.284,13642.876,0,0,180.94,0,0,32739.28
"112","112","2544","0","0","1",0,0,75.4,0,0,5685.16,-63.84734216,-33.05030941,59.34,"4","112",75.4,5685.16,177.52,31513.35,13385.008,0,0,177.52,0,0,31513.35
"113","113","2545","0","0","1",0,0,75.4,0,0,5685.16,-63.84727189,-33.05033388,55.37,"4","113",75.4,5685.16,178.85,31987.322,13485.29,0,0,178.85,0,0,31987.32
"114","114","2546","0","0","1",0,0,75.4,0,0,5685.16,-63.84720162,-33.05035835,51.18,"4","114",75.4,5685.16,174.83,30565.529,13182.182,0,0,174.83,0,0,30565.53
"115","115","2547","0","0","1",0,0,75.4,0,0,5685.16,-63.84713135,-33.05038281,54.64,"4","115",75.4,5685.16,174.48,30443.27,13155.792,0,0,174.48,0,0,30443.27
"116","116","2548","0","0","1",0,0,75.4,0,0,5685.16,-63.84706107,-33.05040728,54.59,"4","116",75.4,5685.16,170.78,29165.808,12876.812,0,0,170.78,0,0,29165.81
"117","117","2549","0","0","1",0,0,75.4,0,0,5685.16,-63.8469908,-33.05043175,54.32,"4","117",75.4,5685.16,176.07,31000.645,13275.678,0,0,176.07,0,0,31000.65
"118","118","2550","0","0","1",0,0,75.4,0,0,5685.16,-63.84692053,-33.05045622,51.67,"4","118",75.4,5685.16,178.19,31751.676,13435.526,0,0,178.19,0,0,31751.68
"119","119","2551","0","0","1",0,0,75.4,0,0,5685.16,-63.84685026,-33.05048068,55.62,"4","119",75.4,5685.16,176.99,31325.46,13345.046,0,0,176.99,0,0,31325.46
"120","120","2552","0","0","1",0,0,75.4,0,0,5685.16,-63.84677998,-33.05050515,55.5,"4","120",75.4,5685.16,177.84,31627.066,13409.136,0,0,177.84,0,0,31627.07
"121","121","2553","0","0","1",0,0,75.4,0,0,5685.16,-63.84670971,-33.05052962,52.21,"4","121",75.4,5685.16,180.94,32739.284,13642.876,0,0,180.94,0,0,32739.28
"122","122","2554","0","0","1",0,0,75.4,0,0,5685.16,-63.84663944,-33.05055408,46.68,"4","122",75.4,5685.16,179.22,32119.808,13513.188,0,0,179.22,0,0,32119.81
"123","123","2555","1","0","0",0,75.4,0,0,5685.16,0,-63.84656917,-33.05057855,49.06,"3","123",75.4,5685.16,174.77,30544.553,13177.658,0,174.77,0,0,30544.55,0
"124","124","2556","1","0","0",0,75.4,0,0,5685.16,0,-63.84649889,-33.05060302,47.16,"3","124",75.4,5685.16,167.2,27955.84,12606.88,0,167.2,0,0,27955.84,0
"125","125","2557","1","0","0",0,75.4,0,0,5685.16,0,-63.84642862,-33.05062749,49.42,"3","125",75.4,5685.16,167.9,28190.41,12659.66,0,167.9,0,0,28190.41,0
"126","126","2558","1","0","0",0,75.4,0,0,5685.16,0,-63.84635835,-33.05065195,51.91,"3","126",75.4,5685.16,169.24,28642.178,12760.696,0,169.24,0,0,28642.18,0
"127","127","2559","1","0","0",0,75.4,0,0,5685.16,0,-63.84628807,-33.05067642,48.54,"3","127",75.4,5685.16,163.21,26637.504,12306.034,0,163.21,0,0,26637.5,0
"128","128","2560","1","0","0",0,75.4,0,0,5685.16,0,-63.8462178,-33.05070089,49.03,"3","128",75.4,5685.16,164.02,26902.56,12367.108,0,164.02,0,0,26902.56,0
"129","129","2561","1","0","0",0,75.4,0,0,5685.16,0,-63.84614753,-33.05072535,48.74,"3","129",75.4,5685.16,171.96,29570.242,12965.784,0,171.96,0,0,29570.24,0
"130","130","2562","1","0","0",0,75.4,0,0,5685.16,0,-63.84607725,-33.05074982,47.35,"3","130",75.4,5685.16,182.38,33262.464,13751.452,0,182.38,0,0,33262.46,0
"131","131","2563","1","0","0",0,75.4,0,0,5685.16,0,-63.84600698,-33.05077429,49.68,"3","131",75.4,5685.16,187.15,35025.123,14111.11,0,187.15,0,0,35025.12,0
"132","132","2564","1","0","0",0,75.4,0,0,5685.16,0,-63.84593671,-33.05079876,44.77,"3","132",75.4,5685.16,187.2,35043.84,14114.88,0,187.2,0,0,35043.84,0
"133","133","2565","1","0","0",0,75.4,0,0,5685.16,0,-63.84586643,-33.05082322,39.27,"3","133",75.4,5685.16,191.97,36852.481,14474.538,0,191.97,0,0,36852.48,0
"134","134","2566","1","0","0",0,75.4,0,0,5685.16,0,-63.84579616,-33.05084769,35.73,"3","134",75.4,5685.16,195.55,38239.803,14744.47,0,195.55,0,0,38239.8,0
"135","135","2567","1","0","0",0,75.4,0,0,5685.16,0,-63.84572589,-33.05087216,31.45,"3","135",75.4,5685.16,198.66,39465.796,14978.964,0,198.66,0,0,39465.8,0
"136","136","2568","1","0","0",0,75.4,0,0,5685.16,0,-63.84565561,-33.05089662,37.42,"3","136",75.4,5685.16,203.51,41416.32,15344.654,0,203.51,0,0,41416.32,0
